1520519130480406272,0.00765,-0.01360,-0.01203,0.82147,0.30940,-0.42181,0.22703,-0.08483,-0.10907,0.01287,
1520519130560606464,0.00535,-0.01677,-0.01069,0.81729,0.30838,-0.43662,0.21517,-0.12943,-0.09689,0.00394,
1520519130680806144,-0.01443,-0.02922,-0.00879,0.82168,0.29595,-0.43788,0.21337,-0.20544,-0.09835,0.02582,
1520519130760906240,-0.02714,-0.04005,-0.00521,0.81351,0.31143,-0.44109,0.21598,-0.27062,-0.12504,0.04439,
1520519130881106432,-0.06484,-0.05664,0.00099,0.80592,0.32226,-0.43870,0.23275,-0.35937,-0.15049,0.04991,
1520519130961306624,-0.08665,-0.06788,0.00638,0.80358,0.31230,-0.44391,0.24427,-0.37035,-0.18451,0.04414,
1520519131081506816,-0.13239,-0.09409,0.01380,0.81465,0.29236,-0.44378,0.23223,-0.42101,-0.26365,0.04810,
1520519131161605888,-0.15611,-0.11952,0.01412,0.81487,0.29833,-0.44265,0.22593,-0.46177,-0.30579,0.05387,
1520519131281906176,-0.21388,-0.15995,0.01913,0.80746,0.31042,-0.44617,0.22930,-0.56701,-0.34442,0.06287,
1520519131362006272,-0.25966,-0.18881,0.02467,0.80652,0.30672,-0.44938,0.23133,-0.62986,-0.37249,0.06915,
1520519131482206464,-0.33099,-0.23492,0.03881,0.80627,0.29744,-0.45272,0.23772,-0.71367,-0.43720,0.08813,
1520519131562306304,-0.37877,-0.26463,0.04818,0.80493,0.30109,-0.45120,0.24054,-0.75635,-0.47782,0.09963,
1520519131682606592,-0.46891,-0.32236,0.06201,0.79839,0.31186,-0.45167,0.24761,-0.84622,-0.53536,0.10659,
1520519131762705920,-0.52966,-0.36329,0.07350,0.79723,0.31584,-0.45074,0.24800,-0.89097,-0.58035,0.11078,
1520519131882905856,-0.62351,-0.43280,0.07517,0.80031,0.30979,-0.44869,0.24943,-0.96934,-0.61429,0.10747,
1520519131963005952,-0.67415,-0.46542,0.08659,0.79880,0.31455,-0.44633,0.25251,-1.00319,-0.62974,0.11572,
1520519132083306240,-0.70895,-0.52753,0.10992,0.79649,0.32456,-0.44230,0.25424,-0.98243,-0.68364,0.13009,
1520519132163406336,-0.73247,-0.54411,0.12283,0.79718,0.32476,-0.44030,0.25528,-0.97968,-0.67392,0.13631,
1520519132283606528,-0.68591,-0.49162,0.13728,0.80089,0.32111,-0.43613,0.25546,-0.88470,-0.58276,0.14624,
1520519132363806720,-0.60622,-0.40006,0.14515,0.80533,0.31859,-0.42973,0.25550,-0.74888,-0.45242,0.15256,
1520519132484005888,-0.60565,-0.36318,0.15579,0.80692,0.31913,-0.42716,0.25410,-0.70953,-0.39132,0.15378,
1520519132564105984,-0.62150,-0.35829,0.16405,0.80728,0.31743,-0.42767,0.25422,-0.70818,-0.36384,0.15780,
1520519132684306176,-0.65635,-0.38915,0.17890,0.80578,0.32178,-0.42737,0.25404,-0.68752,-0.40194,0.15978,
1520519132764506368,-0.65763,-0.40270,0.18700,0.80291,0.33576,-0.42473,0.24941,-0.66463,-0.41027,0.15676,
1520519132884706560,-0.75676,-0.53723,0.21745,0.79481,0.34685,-0.42717,0.25591,-0.73930,-0.51290,0.17995,
1520519132964806656,-0.78904,-0.53283,0.23586,0.79904,0.33753,-0.42587,0.25738,-0.73785,-0.47532,0.18582,
1520519133085006592,-0.87859,-0.57101,0.26853,0.79992,0.33320,-0.42570,0.26053,-0.78494,-0.49476,0.20742,
1520519133165206016,-0.86658,-0.45693,0.27979,0.80271,0.33021,-0.42322,0.25981,-0.75632,-0.35291,0.21662,
